"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
217,118,"KEN","Kenya",8,"Homa Bay",46,"Homa Bay Town",217,"Homa Bay West",1243,"","Ward","Ward","",""
218,118,"KEN","Kenya",8,"Homa Bay",47,"Kabondo Kasipul",218,"Kabondo East",1226,"","Ward","Ward","",""
219,118,"KEN","Kenya",8,"Homa Bay",47,"Kabondo Kasipul",219,"Kabondo West",1227,"","Ward","Ward","",""
220,118,"KEN","Kenya",8,"Homa Bay",47,"Kabondo Kasipul",220,"Kojwach",1229,"","Ward","Ward","",""
221,118,"KEN","Kenya",8,"Homa Bay",47,"Kabondo Kasipul",221,"Kokwanyo/Kakelo",1228,"","Ward","Ward","",""
222,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",222,"Central",1232,"","Ward","Ward","",""
223,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",223,"Kanyaluo",1233,"","Ward","Ward","",""
224,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",224,"Kendu Bay Town",1236,"","Ward","Ward","",""
225,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",225,"Kibiri",1234,"","Ward","Ward","",""
226,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",226,"North Karachuonyo",1231,"","Ward","Ward","",""
227,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",227,"Wangchieng",1235,"","Ward","Ward","",""
228,118,"KEN","Kenya",8,"Homa Bay",48,"Karachuonyo",228,"West Karachuonyo",1230,"","Ward","Ward","",""
229,118,"KEN","Kenya",8,"Homa Bay",49,"Kasipul",229,"Central Kasipul",1223,"","Ward","Ward","",""
230,118,"KEN","Kenya",8,"Homa Bay",49,"Kasipul",230,"East Kamagak",1224,"","Ward","Ward","",""
231,118,"KEN","Kenya",8,"Homa Bay",49,"Kasipul",231,"South Kasipul",1222,"","Ward","Ward","",""
232,118,"KEN","Kenya",8,"Homa Bay",49,"Kasipul",232,"West Kamagak",1225,"","Ward","Ward","",""
233,118,"KEN","Kenya",8,"Homa Bay",49,"Kasipul",233,"West Kasipul",1221,"","Ward","Ward","",""
234,118,"KEN","Kenya",8,"Homa Bay",50,"Mbita",234,"Gembe",1255,"","Ward","Ward","",""
235,118,"KEN","Kenya",8,"Homa Bay",50,"Mbita",235,"Kasgunga",1254,"","Ward","Ward","",""
